order_id,customer_id,order_timestamp,location,product_category,order_value,delivery_timestamp
1,1109,2023-01-01 00:00:00,Mumbai,Pharmacy,2498.56,2023-01-01 00:10:00
2,1116,2023-01-01 01:00:00,Mumbai,Pharmacy,979.33,2023-01-01 01:10:00
3,1070,2023-01-01 02:00:00,Bangalore,Electronics,1645.93,2023-01-01 02:10:00
4,1182,2023-01-01 03:00:00,Mumbai,Electronics,1917.95,2023-01-01 03:10:00
5,1179,2023-01-01 04:00:00,Hyderabad,Groceries,1790.74,2023-01-01 04:10:00
6,1185,2023-01-01 05:00:00,Mumbai,Pharmacy,859.54,2023-01-01 06:32:00
7,1073,2023-01-01 06:00:00,Hyderabad,Electronics,533.55,2023-01-01 06:10:00
8,1071,2023-01-01 07:00:00,Mumbai,Groceries,2287.47,2023-01-01 08:01:00
9,1117,2023-01-01 08:00:00,Mumbai,Snacks,3990.0,2023-01-01 08:10:00
10,1188,2023-01-01 09:00:00,Hyderabad,Snacks,583.35,2023-01-01 09:10:00
11,1154,2023-01-01 10:00:00,Delhi,Groceries,1416.44,2023-01-01 10:10:00
12,1106,2023-01-01 11:00:00,Bangalore,Groceries,3147.62,2023-01-01 12:14:00
13,1007,2023-01-01 12:00:00,Delhi,Electronics,3506.63,2023-01-01 12:10:00
14,1101,2023-01-01 13:00:00,Bangalore,Electronics,2854.18,2023-01-01 13:10:00
15,1058,2023-01-01 14:00:00,Bangalore,Electronics,1015.91,2023-01-01 14:10:00
16,1179,2023-01-01 15:00:00,Bangalore,Pharmacy,4063.56,2023-01-01 15:10:00
17,1105,2023-01-01 16:00:00,Delhi,Pharmacy,3500.61,2023-01-01 16:10:00
18,1092,2023-01-01 17:00:00,Bangalore,Pharmacy,542.64,2023-01-01 17:55:00
19,1051,2023-01-01 18:00:00,Mumbai,Snacks,803.71,2023-01-01 18:10:00
20,1031,2023-01-01 19:00:00,Delhi,Groceries,1447.07,2023-01-01 19:10:00
21,1195,2023-01-01 20:00:00,Mumbai,Electronics,1795.51,2023-01-01 20:10:00
22,1021,2023-01-01 21:00:00,Hyderabad,Groceries,1880.73,2023-01-01 21:10:00
23,1031,2023-01-01 22:00:00,Mumbai,Groceries,3671.17,2023-01-01 22:10:00
24,1159,2023-01-01 23:00:00,Hyderabad,Pharmacy,2868.38,2023-01-01 23:10:00
25,1111,2023-01-02 00:00:00,Delhi,Electronics,1944.52,2023-01-02 00:10:00
26,1158,2023-01-02 01:00:00,Hyderabad,Snacks,1532.16,2023-01-02 02:44:00
27,1111,2023-01-02 02:00:00,Bangalore,Snacks,3120.84,2023-01-02 02:10:00
28,1074,2023-01-02 03:00:00,Bangalore,Groceries,2190.31,2023-01-02 03:10:00
29,1128,2023-01-02 04:00:00,Delhi,Snacks,4970.59,2023-01-02 04:10:00
30,1200,2023-01-02 05:00:00,Bangalore,Electronics,3111.21,2023-01-02 05:10:00
31,1135,2023-01-02 06:00:00,Bangalore,Electronics,1030.2,2023-01-02 06:10:00
32,1054,2023-01-02 07:00:00,Bangalore,Groceries,1403.23,2023-01-02 07:10:00
33,1033,2023-01-02 08:00:00,Bangalore,Snacks,392.33,2023-01-02 08:10:00
34,1174,2023-01-02 09:00:00,Hyderabad,Groceries,2682.06,2023-01-02 09:57:00
35,1160,2023-01-02 10:00:00,Delhi,Pharmacy,4237.31,2023-01-02 10:10:00
36,1162,2023-01-02 11:00:00,Bangalore,Snacks,928.56,2023-01-02 11:10:00
37,1045,2023-01-02 12:00:00,Delhi,Electronics,1964.1,2023-01-02 12:10:00
38,1003,2023-01-02 13:00:00,Bangalore,Pharmacy,3009.0,2023-01-02 13:10:00
39,1197,2023-01-02 14:00:00,Delhi,Pharmacy,1936.91,2023-01-02 14:10:00
40,1139,2023-01-02 15:00:00,Mumbai,Pharmacy,259.26,2023-01-02 15:10:00
41,1076,2023-01-02 16:00:00,Hyderabad,Groceries,4527.93,2023-01-02 16:10:00
42,1065,2023-01-02 17:00:00,Bangalore,Electronics,4630.06,2023-01-02 17:10:00
43,1161,2023-01-02 18:00:00,Bangalore,Electronics,1039.14,2023-01-02 18:10:00
44,1114,2023-01-02 19:00:00,Mumbai,Groceries,3635.46,2023-01-02 19:10:00
45,1024,2023-01-02 20:00:00,Hyderabad,Pharmacy,1523.36,2023-01-02 20:10:00
46,1148,2023-01-02 21:00:00,Hyderabad,Electronics,4891.37,2023-01-02 21:10:00
47,1031,2023-01-02 22:00:00,Mumbai,Snacks,1317.53,2023-01-02 22:10:00
48,1037,2023-01-02 23:00:00,Hyderabad,Pharmacy,1708.89,2023-01-02 23:10:00
49,1067,2023-01-03 00:00:00,Delhi,Electronics,585.71,2023-01-03 00:17:00
50,1129,2023-01-03 01:00:00,Delhi,Pharmacy,4771.95,2023-01-03 01:10:00
51,1116,2023-01-03 02:00:00,Bangalore,Electronics,2709.45,2023-01-03 02:10:00
52,1122,2023-01-03 03:00:00,Delhi,Snacks,2081.42,2023-01-03 03:10:00
53,1087,2023-01-03 04:00:00,Mumbai,Snacks,1579.39,2023-01-03 04:10:00
54,1053,2023-01-03 05:00:00,Mumbai,Groceries,1865.87,2023-01-03 05:10:00
55,1027,2023-01-03 06:00:00,Bangalore,Pharmacy,3967.4,2023-01-03 07:36:00
56,1170,2023-01-03 07:00:00,Bangalore,Electronics,3842.44,2023-01-03 08:53:00
57,1013,2023-01-03 08:00:00,Mumbai,Groceries,4557.97,2023-01-03 08:10:00
58,1068,2023-01-03 09:00:00,Mumbai,Pharmacy,1805.71,2023-01-03 09:10:00
59,1144,2023-01-03 10:00:00,Bangalore,Electronics,3725.85,2023-01-03 10:10:00
60,1102,2023-01-03 11:00:00,Bangalore,Pharmacy,1322.65,2023-01-03 11:10:00
61,1062,2023-01-03 12:00:00,Mumbai,Groceries,4848.38,2023-01-03 12:10:00
62,1024,2023-01-03 13:00:00,Bangalore,Pharmacy,4789.51,2023-01-03 14:40:00
63,1115,2023-01-03 14:00:00,Hyderabad,Groceries,4232.68,2023-01-03 14:52:00
64,1070,2023-01-03 15:00:00,Hyderabad,Groceries,3054.39,2023-01-03 15:10:00
65,1085,2023-01-03 16:00:00,Bangalore,Pharmacy,4360.09,2023-01-03 16:10:00
66,1188,2023-01-03 17:00:00,Delhi,Groceries,1385.41,2023-01-03 17:10:00
67,1055,2023-01-03 18:00:00,Hyderabad,Snacks,2947.94,2023-01-03 18:10:00
68,1098,2023-01-03 19:00:00,Bangalore,Pharmacy,2722.14,2023-01-03 19:10:00
69,1176,2023-01-03 20:00:00,Hyderabad,Pharmacy,2013.9,2023-01-03 20:10:00
70,1178,2023-01-03 21:00:00,Bangalore,Electronics,3899.97,2023-01-03 21:10:00
71,1145,2023-01-03 22:00:00,Bangalore,Groceries,4711.49,2023-01-03 22:32:00
72,1123,2023-01-03 23:00:00,Mumbai,Snacks,1812.31,2023-01-03 23:10:00
73,1131,2023-01-04 00:00:00,Mumbai,Groceries,2887.14,2023-01-04 00:10:00
74,1029,2023-01-04 01:00:00,Delhi,Snacks,1369.09,2023-01-04 01:10:00
75,1136,2023-01-04 02:00:00,Mumbai,Groceries,2877.62,2023-01-04 02:10:00
76,1178,2023-01-04 03:00:00,Hyderabad,Snacks,4161.05,2023-01-04 03:10:00
77,1176,2023-01-04 04:00:00,Hyderabad,Snacks,1091.01,2023-01-04 04:10:00
78,1027,2023-01-04 05:00:00,Mumbai,Pharmacy,2820.49,2023-01-04 05:10:00
79,1035,2023-01-04 06:00:00,Hyderabad,Groceries,1937.78,2023-01-04 06:10:00
80,1137,2023-01-04 07:00:00,Delhi,Pharmacy,1101.64,2023-01-04 07:10:00
81,1033,2023-01-04 08:00:00,Bangalore,Electronics,3170.28,2023-01-04 08:10:00
82,1035,2023-01-04 09:00:00,Delhi,Electronics,1722.56,2023-01-04 09:10:00
83,1198,2023-01-04 10:00:00,Hyderabad,Groceries,2307.54,2023-01-04 10:10:00
84,1082,2023-01-04 11:00:00,Mumbai,Pharmacy,3877.73,2023-01-04 11:10:00
85,1019,2023-01-04 12:00:00,Mumbai,Electronics,2716.79,2023-01-04 12:21:00
86,1165,2023-01-04 13:00:00,Delhi,Electronics,4387.22,2023-01-04 13:10:00
87,1083,2023-01-04 14:00:00,Delhi,Electronics,4175.67,2023-01-04 14:10:00
88,1133,2023-01-04 15:00:00,Hyderabad,Pharmacy,4812.9,2023-01-04 15:10:00
89,1149,2023-01-04 16:00:00,Mumbai,Groceries,2918.1,2023-01-04 17:28:00
90,1143,2023-01-04 17:00:00,Mumbai,Groceries,2149.86,2023-01-04 17:10:00
91,1165,2023-01-04 18:00:00,Bangalore,Snacks,2392.42,2023-01-04 18:10:00
92,1030,2023-01-04 19:00:00,Bangalore,Groceries,3844.06,2023-01-04 20:04:00
93,1001,2023-01-04 20:00:00,Hyderabad,Groceries,4916.34,2023-01-04 20:10:00
94,1036,2023-01-04 21:00:00,Hyderabad,Groceries,2746.99,2023-01-04 21:10:00
95,1056,2023-01-04 22:00:00,Delhi,Electronics,3312.86,2023-01-04 22:10:00
96,1037,2023-01-04 23:00:00,Hyderabad,Pharmacy,2157.98,2023-01-04 23:10:00
97,1025,2023-01-05 00:00:00,Bangalore,Pharmacy,3347.89,2023-01-05 00:10:00
98,1181,2023-01-05 01:00:00,Delhi,Pharmacy,1549.51,2023-01-05 01:10:00
99,1008,2023-01-05 02:00:00,Delhi,Electronics,4205.33,2023-01-05 02:10:00
100,1082,2023-01-05 03:00:00,Hyderabad,Snacks,1658.06,2023-01-05 03:10:00
101,1105,2023-01-05 04:00:00,Hyderabad,Groceries,4876.94,2023-01-05 04:10:00
102,1097,2023-01-05 05:00:00,Delhi,Pharmacy,4144.91,2023-01-05 05:10:00
103,1081,2023-01-05 06:00:00,Mumbai,Pharmacy,3199.07,2023-01-05 06:10:00
104,1124,2023-01-05 07:00:00,Hyderabad,Snacks,4996.41,2023-01-05 07:10:00
105,1176,2023-01-05 08:00:00,Mumbai,Pharmacy,2067.63,2023-01-05 09:08:00
106,1104,2023-01-05 09:00:00,Hyderabad,Groceries,389.52,2023-01-05 09:10:00
107,1130,2023-01-05 10:00:00,Delhi,Pharmacy,2248.99,2023-01-05 10:10:00
